Dataset,VIF,Algorithm,MCC,Features
child,5,NSGA-II,0.7029618251063569,3
child,5,DE,0.7029618251063569,3
child,5,Hybrid_PSO_DE,0.7029618251063569,3
child,6,NSGA-II,0.7029618251063569,3
child,6,DE,0.7029618251063569,3
child,6,Hybrid_PSO_DE,0.7029618251063569,3
child,7,NSGA-II,0.7029618251063569,3
child,7,DE,0.7029618251063569,3
child,7,Hybrid_PSO_DE,0.7029618251063569,3
child,8,NSGA-II,0.4408026295328943,3
child,8,DE,0.7029618251063569,3
child,8,Hybrid_PSO_DE,0.4408026295328943,3
child,9,NSGA-II,0.7029618251063569,3
child,9,DE,0.7029618251063569,3
child,9,Hybrid_PSO_DE,0.7029618251063569,3
child,10,NSGA-II,0.4408026295328943,3
child,10,DE,0.7029618251063569,3
child,10,Hybrid_PSO_DE,0.7029618251063569,3
child,11,NSGA-II,0.7029618251063569,3
child,11,DE,0.7029618251063569,3
child,11,Hybrid_PSO_DE,0.7029618251063569,3
child,12,NSGA-II,0.7029618251063569,3
child,12,DE,0.7029618251063569,3
child,12,Hybrid_PSO_DE,0.7029618251063569,3
child,13,NSGA-II,0.8307,3
child,13,DE,0.7029618251063569,3
child,13,Hybrid_PSO_DE,0.4408026295328943,3
child,14,NSGA-II,0.4408026295328943,3
child,14,DE,0.7029618251063569,3
child,14,Hybrid_PSO_DE,0.7029618251063569,3
child,15,NSGA-II,0.7029618251063569,3
child,15,DE,0.7029618251063569,3
child,15,Hybrid_PSO_DE,0.7029618251063569,3
child,16,NSGA-II,0.6814084313717911,4
child,16,DE,0.7029618251063569,3
child,16,Hybrid_PSO_DE,0.4408026295328943,3
child,17,NSGA-II,0.6814084313717911,4
child,17,DE,0.7029618251063569,3
child,17,Hybrid_PSO_DE,0.7029618251063569,3
child,18,NSGA-II,0.7029618251063569,3
child,18,DE,0.7029618251063569,3
child,18,Hybrid_PSO_DE,0.7029618251063569,3
child,19,NSGA-II,0.7029618251063569,3
child,19,DE,0.7029618251063569,3
child,19,Hybrid_PSO_DE,0.4408026295328943,3
child,20,NSGA-II,0.6814084313717911,4
child,20,DE,0.4408026295328943,3
child,20,Hybrid_PSO_DE,0.7029618251063569,3
adolescent,5,NSGA-II,0.4996800928651597,3
adolescent,5,DE,0.4996800928651597,3
adolescent,5,Hybrid_PSO_DE,0.4996800928651597,3
adolescent,6,NSGA-II,0.6264162627702785,3
adolescent,6,DE,0.5664019484875937,3
adolescent,6,Hybrid_PSO_DE,0.6264162627702785,3
adolescent,7,NSGA-II,0.6264162627702785,3
adolescent,7,DE,0.6264162627702785,3
adolescent,7,Hybrid_PSO_DE,0.6264162627702785,3
adolescent,8,NSGA-II,0.5664019484875937,3
adolescent,8,DE,0.6264162627702785,3
adolescent,8,Hybrid_PSO_DE,0.6264162627702785,3
adolescent,9,NSGA-II,0.7091975557479062,4
adolescent,9,DE,0.6264162627702785,3
adolescent,9,Hybrid_PSO_DE,0.7091975557479062,4
adolescent,10,NSGA-II,0.6264162627702785,3
adolescent,10,DE,0.5908260166945353,4
adolescent,10,Hybrid_PSO_DE,0.5848665698046197,4
adolescent,11,NSGA-II,0.7091975557479062,4
adolescent,11,DE,0.7850457423198574,4
adolescent,11,Hybrid_PSO_DE,0.6264162627702785,3
adolescent,12,NSGA-II,0.7850457423198574,4
adolescent,12,DE,0.6264162627702785,3
adolescent,12,Hybrid_PSO_DE,0.7094810912648507,4
adolescent,13,NSGA-II,0.769,4
adolescent,13,DE,0.6264162627702785,3
adolescent,13,Hybrid_PSO_DE,0.7850457423198574,4
adolescent,14,NSGA-II,0.6264162627702785,3
adolescent,14,DE,0.6264162627702785,3
adolescent,14,Hybrid_PSO_DE,0.7094810912648507,4
adolescent,15,NSGA-II,0.6264162627702785,3
adolescent,15,DE,0.7850457423198574,4
adolescent,15,Hybrid_PSO_DE,0.5848665698046197,4
adolescent,16,NSGA-II,0.6264162627702785,3
adolescent,16,DE,0.6264162627702785,3
adolescent,16,Hybrid_PSO_DE,0.533282839591983,4
adolescent,17,NSGA-II,0.7091975557479062,4
adolescent,17,DE,0.6264162627702785,3
adolescent,17,Hybrid_PSO_DE,0.5848665698046197,4
adolescent,18,NSGA-II,0.7091975557479062,4
adolescent,18,DE,0.5908260166945353,4
adolescent,18,Hybrid_PSO_DE,0.5848665698046197,4
adolescent,19,NSGA-II,0.6264162627702785,3
adolescent,19,DE,0.5908260166945353,4
adolescent,19,Hybrid_PSO_DE,0.7850457423198574,4
adolescent,20,NSGA-II,0.7091975557479062,4
adolescent,20,DE,0.7091975557479062,4
adolescent,20,Hybrid_PSO_DE,0.7417128967297946,5
adult,5,NSGA-II,0.5932624586014026,1
adult,5,DE,0.5932624586014026,1
adult,5,Hybrid_PSO_DE,0.5932624586014026,1
adult,6,NSGA-II,0.5932624586014026,2
adult,6,DE,0.5932624586014026,1
adult,6,Hybrid_PSO_DE,0.5932624586014026,1
adult,7,NSGA-II,0.5932624586014026,1
adult,7,DE,0.5932624586014026,2
adult,7,Hybrid_PSO_DE,0.5932624586014026,1
adult,8,NSGA-II,0.5932624586014026,1
adult,8,DE,0.5932624586014026,1
adult,8,Hybrid_PSO_DE,0.5932624586014026,1
adult,9,NSGA-II,0.5932624586014026,1
adult,9,DE,0.5932624586014026,1
adult,9,Hybrid_PSO_DE,0.5932624586014026,1
adult,10,NSGA-II,0.5932624586014026,1
adult,10,DE,0.5932624586014026,1
adult,10,Hybrid_PSO_DE,0.5932624586014026,1
adult,11,NSGA-II,0.5932624586014026,1
adult,11,DE,0.5932624586014026,1
adult,11,Hybrid_PSO_DE,0.5932624586014026,1
adult,12,NSGA-II,0.5932624586014026,1
adult,12,DE,0.5932624586014026,1
adult,12,Hybrid_PSO_DE,0.5932624586014026,1
adult,13,NSGA-II,0.8477,1
adult,13,DE,0.5932624586014026,2
adult,13,Hybrid_PSO_DE,0.5932624586014026,1
adult,14,NSGA-II,0.5932624586014026,1
adult,14,DE,0.5932624586014026,1
adult,14,Hybrid_PSO_DE,0.5932624586014026,1
adult,15,NSGA-II,0.5932624586014026,1
adult,15,DE,0.5932624586014026,1
adult,15,Hybrid_PSO_DE,0.5932624586014026,1
adult,16,NSGA-II,0.5932624586014026,1
adult,16,DE,0.5932624586014026,1
adult,16,Hybrid_PSO_DE,0.5932624586014026,1
adult,17,NSGA-II,0.5932624586014026,1
adult,17,DE,0.5932624586014026,1
