Dataset,Noise_Level,MCC,MCC_std,Sensitivity,Specificity,MCC_Drop
child,0.0,0.6802290352987057,0.07892906623837824,0.8588669950738916,0.8150537634408602,0.0
child,0.05,0.5939565077566092,0.05421295422979285,0.8017241379310344,0.7888172043010753,0.08627252754209647
child,0.1,0.6043461521387108,0.09756838672692429,0.8231527093596058,0.7754838709677419,0.07588288315999492
child,0.15,0.5703540816214128,0.09498601830973913,0.8017241379310345,0.7625806451612903,0.10987495367729294
child,0.2,0.6098961460220926,0.13920647618375842,0.7938423645320197,0.8086021505376344,0.07033288927661308
adolescent,0.0,0.8063498875719703,0.08714381099283995,0.9525641025641025,0.825,0.0
adolescent,0.05,0.6659735387582356,0.1802951568288257,0.8897435897435898,0.75,0.14037634881373473
adolescent,0.1,0.7394979500764198,0.05118378441787009,0.9371794871794872,0.7777777777777778,0.06685193749555052
adolescent,0.15,0.7197595291890608,0.12179710074960268,0.9217948717948719,0.775,0.08659035838290952
adolescent,0.2,0.7223779148370322,0.19555471656165244,0.9384615384615385,0.7527777777777778,0.08397197273493817
adult,0.0,0.5443545412329802,0.04283709340926032,0.5869132290184922,0.916504854368932,0.0
adult,0.05,0.5762961387826593,0.022038379982087904,0.6031294452347085,0.9281553398058253,-0.03194159754967907
adult,0.1,0.5222774655858125,0.05665694204921222,0.5970128022759601,0.9009708737864077,0.022077075647167765
adult,0.15,0.5226509886509108,0.0467765925222611,0.576529160739687,0.9106796116504855,0.021703552582069463
adult,0.2,0.5212645470455819,0.0331114285406915,0.576529160739687,0.9087378640776699,0.02308999418739832
